Epoch,Loss
1,1.09125244980141
2,1.03043623869346
3,0.973217572912471
4,0.920033343183623
5,0.871125595117688
6,0.82655566428991
7,0.786234928007059
8,0.749963108274361
9,0.717466426626157
10,0.68843068486733
11,0.662527110522557
12,0.639430812584898
13,0.618832809286227
14,0.600447009867178
15,0.584013528878348
16,0.569299507162864
17,0.556098349991776
18,0.544228043405699
19,0.533529004062792
20,0.523861761246601
21,0.515104656795143
22,0.507151670734175
23,0.499910428502687
24,0.493300412391907
25,0.487251379406492
26,0.481701975957132
27,0.476598533605472
28,0.47189402743876
29,0.46754717816366
30,0.463521679762883
31,0.459785535967602
32,0.456310490495704
33,0.453071537768834
34,0.450046502522367
35,0.447215678294411
36,0.444561516192706
37,0.442068356584255
38,0.439722197436898
39,0.437510493977221
40,0.435421985129969
41,0.433446542886896
42,0.431575041332906
43,0.429799242548979
44,0.428111697027487
45,0.426505656587493
46,0.424974998075203
47,0.423514156386504
48,0.422118065561469
49,0.4207821068811
50,0.419502063049448
51,0.418274077674013
52,0.417094619367528
53,0.415960449888051
54,0.414868595814221
55,0.413816323320726
56,0.412801115677344
57,0.411820653144836
58,0.410872794983792
59,0.409955563329267
60,0.40906712871572
61,0.408205797064031
62,0.4073699979659
63,0.406558274121295
64,0.405769271802273
65,0.405001732231775
66,0.404254483779285
67,0.403526434886871
68,0.402816567649145
69,0.402123931979551
70,0.401447640303061
71,0.400786862722141
72,0.400140822608736
73,0.399508792580262
74,0.398890090822141
75,0.398284077723489
76,0.39769015279607
77,0.397107751849839
78,0.396536344401131
79,0.395975431292044
80,0.395424542501755
81,0.394883235132432
82,0.394351091554159
83,0.39382771769482
84,0.393312741462248
85,0.39280581128721
86,0.392306594776865
87,0.3918147774693
88,0.391330061680685
89,0.390852165437325
90,0.390380821485603
91,0.389915776373485
92,0.389456789597766
93,0.389003632811829
94,0.388556089089081
95,0.388113952237705
96,0.387677026162728
97,0.387245124271746
98,0.386818068920954
99,0.386395690898444
100,0.385977828941935
101,0.385564329288399
102,0.385155045253188
103,0.384749836836521
104,0.384348570355335
105,0.383951118098652
106,0.383557358004797
107,0.383167173358905
108,0.382780452509286
109,0.382397088601324
110,0.382016979327702
111,0.381640026693824
112,0.381266136797389
113,0.380895219621161
114,0.380527188838046
115,0.380161961627655
116,0.379799458503576
117,0.379439603150675
118,0.37908232227174
119,0.378727545442883
120,0.378375204977123
121,0.378025235795633
122,0.377677575306151
123,0.377332163288125
124,0.376988941784136
125,0.376647854997251
126,0.376308849193887
127,0.375971872611897
128,0.375636875373528
129,0.375303809402962
130,0.374972628348173
131,0.374643287506825
132,0.374315743755995
133,0.373989955485464
134,0.373665882534396
135,0.373343486131192
136,0.373022728836331
137,0.372703574488045
138,0.372385988150643
139,0.372069936065354
140,0.371755385603531
141,0.371442305222095
142,0.371130664421086
143,0.370820433703212
144,0.370511584535281
145,0.370204089311412
146,0.369897921317936
147,0.369593054699885
148,0.369289464428995
149,0.368987126273136
150,0.368686016767094
151,0.368386113184632
152,0.368087393511774
153,0.367789836421232
154,0.367493421247935
155,0.36719812796558
156,0.366903937164187
157,0.36661083002857
158,0.366318788317707
159,0.366027794344948
160,0.365737830959025
161,0.365448881525827
162,0.365160929910893
163,0.364873960462606
164,0.36458795799603
165,0.364302907777385
166,0.364018795509106
167,0.363735607315477
168,0.363453329728804
169,0.363171949676104
170,0.362891454466283
171,0.362611831777782
172,0.362333069646689
173,0.362055156455244
174,0.361778080920794
175,0.361501832085104
176,0.361226399304062
177,0.360951772237737
178,0.360677940840774
179,0.360404895353123
180,0.360132626291073
181,0.359861124438601
182,0.35959038083899
183,0.359320386786738
184,0.359051133819727
185,0.358782613711642
186,0.358514818464641
187,0.358247740302253
188,0.357981371662505
189,0.357715705191268
190,0.357450733735803
191,0.357186450338513
192,0.356922848230892
193,0.356659920827647
194,0.356397661721014
195,0.356136064675238
196,0.355875123621216
197,0.355614832651315
198,0.355355186014324
199,0.355096178110582
200,0.35483780348722
201,0.354580056833572
202,0.354322932976703
203,0.354066426877073
204,0.35381053362433
205,0.353555248433222
206,0.35330056663963
207,0.353046483696718
208,0.352792995171186
209,0.352540096739645
210,0.352287784185087
211,0.352036053393461
212,0.351784900350342
213,0.351534321137711
214,0.351284311930807
215,0.351034868995092
216,0.350785988683289
217,0.350537667432511
218,0.350289901761477
219,0.350042688267802
220,0.349796023625372
221,0.349549904581796
222,0.34930432795593
223,0.349059290635476
224,0.348814789574652
225,0.348570821791933
226,0.348327384367853
227,0.348084474442885
228,0.347842089215375
229,0.34760022593954
230,0.347358881923531
231,0.347118054527555
232,0.346877741162051
233,0.346637939285925
234,0.346398646404844
235,0.346159860069577
236,0.345921577874391
237,0.3456837974555
238,0.345446516489563
239,0.345209732692229
240,0.344973443816733
241,0.344737647652531
242,0.344502342023988
243,0.344267524789107
244,0.344033193838297
245,0.343799347093188
246,0.343565982505484
247,0.343333098055855
248,0.343100691752869
249,0.342868761631958
250,0.342637305754425
251,0.342406322206486
252,0.34217580909834
253,0.34194576456328
254,0.341716186756833
255,0.341487073855932
256,0.341258424058121
257,0.341030235580783
258,0.34080250666041
